Date,Open,High,Low,Close,Volume
13/08/21,4607,4680,4580,4592,2266898
13/08/22,4596,4750,4570,4750,5187512
13/08/23,4750,4780,4701,4750,2669128
13/08/26,4775,4815,4755,4789,1672631
13/08/27,4780,4809,4685,4720,2535772
13/08/28,4675,4694,4512,4512,3593560
13/08/29,4540,4617,4500,4589,3079278
13/08/30,4612,4621,4513,4603,4038028
13/09/02,4643,4738,4620,4702,2382449
13/09/03,4710,4729,4639,4687,1981973
13/09/04,4678,4700,4578,4678,1932926
13/09/05,4720,4740,4546,4695,4205998
13/09/06,4700,4710,4622,4700,4694799
13/09/09,4700,4705,4651,4700,4952335
13/09/10,4718,4781,4684,4775,4919971
13/09/11,4768,4784,4641,4680,4255991
13/09/12,4670,4748,4633,4748,4821195
13/09/13,4691,4729,4663,4706,1931056
13/09/16,4720,4809,4711,4745,3664824
13/09/17,4710,4823,4695,4800,3741071
13/09/18,4786,4821,4719,4760,2523336
13/09/19,4810,4918,4794,4918,7691957
13/09/20,4915,4926,4801,4821,4143828
13/09/23,4825,4893,4781,4854,3004697
13/09/25,4890,4970,4824,4872,4573323
13/09/26,4847,4863,4801,4820,1982324
13/09/27,4860,4860,4765,4815,3646392
13/09/30,4775,4800,4656,4686,7038487
13/10/01,4700,4755,4700,4741,2643923
13/10/02,4764,4811,4710,4811,2171496
13/10/03,4835,4898,4805,4850,2615311
13/10/04,4850,4854,4754,4777,2224678
13/10/07,4750,4764,4710,4732,1715554
13/10/08,4747,4776,4674,4730,2995658
13/10/09,4737,4737,4609,4635,4204733
13/10/10,4646,4778,4620,4731,3374895
13/10/11,4769,4841,4741,4795,1793639
13/10/14,4745,4817,4721,4814,1175910
13/10/15,4820,4949,4818,4943,3623937
13/10/16,4916,5000,4889,4980,4371153
13/10/17,4940,4987,4923,4956,3487894
13/10/18,4956,5227,4935,5227,10106935
13/10/21,5230,5290,5191,5286,5764857
13/10/22,5291,5518,5222,5500,9879341
13/10/23,5440,5474,5300,5351,4683786
13/10/24,5356,5385,5234,5270,5051183
13/10/25,5246,5296,5178,5256,3567838
13/10/28,5285,5392,5250,5350,3160205
13/10/29,5350,5350,5267,5329,2746288
13/10/30,5325,5394,5300,5385,1955567
13/10/31,5350,5422,5302,5388,5231719
13/11/01,5388,5395,5348,5395,3787866
13/11/04,5395,5400,5318,5400,2003157
13/11/05,5400,5440,5374,5374,4110361
13/11/06,5399,5431,5359,5394,3446787
13/11/07,5373,5425,5360,5380,2787712
13/11/08,5325,5380,5258,5300,3666441
13/11/11,5305,5353,5275,5309,4934940
13/11/12,5310,5330,5266,5309,5408219
13/11/13,5280,5309,5119,5142,5883475
13/11/14,5165,5248,5130,5210,4232698
13/11/15,5250,5288,5180,5180,3550751
13/11/18,5180,5262,5180,5230,2402101
13/11/19,5244,5244,5168,5214,2782442
13/11/20,5203,5249,5190,5240,2346725
13/11/21,5240,5240,5142,5183,2136739
13/11/22,5198,5234,5065,5168,1784865
13/11/25,5130,5238,5130,5190,2240881
13/11/26,5190,5191,5045,5045,5059045
13/11/27,5071,5119,5000,5085,4275295
13/11/28,5080,5170,5060,5129,3052162
13/11/29,5085,5194,5085,5157,2352716
13/12/02,5157,5227,5156,5188,2260341
13/12/03,5180,5180,4950,4995,5313202
13/12/04,4975,5102,4857,4940,4285913
13/12/05,4910,5050,4910,5015,4290670
13/12/06,5060,5125,4950,5100,3633530
13/12/09,5151,5169,5040,5110,2552772
13/12/10,5100,5180,5070,5145,3425798
13/12/11,5120,5147,5010,5073,2727649
13/12/12,5030,5044,4836,4960,5361505
13/12/13,4986,5002,4856,4970,6461437
13/12/17,4920,5113,4920,5100,5968615
13/12/18,5125,5125,5026,5078,5743215
13/12/19,5078,5211,5033,5168,8663891
13/12/20,5152,5199,5106,5145,2753885
13/12/23,5128,5287,5128,5240,1909383
13/12/24,5240,5250,5140,5196,463646
13/12/27,5196,5275,5160,5240,1751950
13/12/30,5250,5365,5167,5291,1308175
13/12/31,5291,5324,5231,5324,656364
14/01/02,5320,5405,5283,5340,1670465
14/01/03,5340,5340,5214,5290,1005009
14/01/06,5270,5313,5155,5160,2184670
14/01/07,5160,5299,5160,5256,2185034
14/01/08,5278,5321,5107,5107,2773829
14/01/09,5107,5289,5107,5196,3591696
14/01/10,5190,5300,5190,5272,2903676
14/01/13,5300,5394,5264,5370,2948414
14/01/14,5330,5330,5202,5250,2064182
14/01/15,5270,5309,5158,5259,2726099
14/01/16,5242,5280,5110,5110,3932185
14/01/17,5130,5180,4951,4951,6278769
14/01/20,4985,5059,4921,4997,3865780
14/01/21,5014,5114,5006,5071,2953772
14/01/22,5087,5143,5020,5075,2568921
14/01/23,5075,5115,4955,4955,4490096
14/01/24,4948,4948,4798,4885,6448914
14/01/27,4815,4858,4766,4829,4100820
14/01/28,4775,4890,4775,4839,2906532
14/01/29,4885,4909,4619,4678,6388203
14/01/30,4601,4713,4495,4666,11217940
14/01/31,4700,4771,4632,4769,6275069
14/02/03,4768,4830,4720,4775,5069924
14/02/04,4690,4821,4625,4800,6218842
14/02/05,4775,4810,4677,4702,3168783
14/02/06,4702,4760,4618,4736,4674450
14/02/07,4720,4840,4706,4825,4860621
14/02/10,4875,5115,4803,5100,7749747
14/02/11,5100,5201,5027,5080,3820347
14/02/12,5130,5225,5035,5219,2681012
14/02/13,5166,5215,5073,5115,2547853
14/02/14,5187,5261,5110,5230,3988463
14/02/17,5250,5275,5100,5238,2193877
14/02/18,5217,5277,5160,5225,2765826
14/02/19,5225,5225,5142,5185,2409554
14/02/20,5112,5147,5051,5115,2443852
14/02/21,5149,5173,4988,5083,4458089
14/02/24,5020,5140,5015,5109,3488481
14/02/25,5150,5193,5058,5115,2115011
14/02/26,5150,5216,5063,5160,3669742
14/02/27,5170,5184,5100,5160,1633102
14/02/28,5137,5290,5126,5290,4472287
14/03/03,5161,5299,5161,5240,2292064
14/03/04,5260,5425,5162,5370,4916960
14/03/05,5370,5432,5334,5380,6009421
14/03/06,5395,5439,5227,5227,6357595
14/03/07,5260,5350,5162,5319,5757325
14/03/10,5319,5339,5202,5325,3847555
14/03/11,5345,5345,5239,5293,4997876
14/03/12,5227,5288,5189,5256,5134602
14/03/13,5330,5330,5245,5285,2677293
14/03/14,5285,5328,5207,5264,3212194
14/03/17,5260,5322,5203,5290,2637256
