Date,Open,High,Low,Close,Volume
13/07/08,16966,17295,16753,17295,634448
13/07/09,17370,17456,17200,17400,404120
13/07/10,17420,17699,16830,16980,1572683
13/07/11,17240,17440,17094,17300,321506
13/07/12,17400,17639,17314,17500,424334
13/07/15,17644,17700,17452,17700,276373
13/07/16,17700,17700,17274,17400,459597
13/07/17,17500,17894,17400,17894,813100
13/07/18,17715,17900,17501,17900,499901
13/07/19,17847,17890,17402,17525,693867
13/07/22,17502,17984,17446,17550,1093494
13/07/23,17750,17899,17648,17800,933587
13/07/24,17877,17999,17563,17849,771769
13/07/25,17700,17800,17499,17535,951492
13/07/26,17699,17739,17381,17440,1199686
13/07/29,17440,17876,17426,17692,726462
13/07/30,17650,17925,17201,17790,1049787
13/07/31,17700,17778,17648,17775,729817
13/08/01,17775,17999,17661,17933,776245
13/08/02,17990,18075,17768,17950,936847
13/08/05,17950,18149,17869,18149,767668
13/08/06,18177,18329,17900,17900,484951
13/08/07,17868,18130,17810,18091,673422
13/08/08,17900,18476,17900,18400,613658
13/08/12,18477,18477,18112,18450,1038675
13/08/13,18515,18861,18381,18782,685672
13/08/14,18856,19202,18618,19061,595377
13/08/15,19089,19099,18808,18950,684457
13/08/16,18900,19287,18855,19066,465459
13/08/19,18950,19055,18882,18960,884543
13/08/20,18960,19199,18815,19020,1721619
13/08/21,18900,19050,18900,19010,988483
13/08/22,18900,19177,18876,19177,1649283
13/08/23,19124,19198,18999,19160,603242
13/08/26,19249,19250,19000,19174,256384
13/08/27,19199,19199,18850,18850,890963
13/08/28,18777,18945,18540,18550,539907
13/08/29,18650,18952,18611,18646,597241
13/08/30,18836,18852,18576,18852,596146
13/09/02,18888,19398,18888,19260,620639
13/09/03,19260,19725,19260,19500,787138
13/09/04,19306,19478,19247,19350,661768
13/09/05,19342,19674,19269,19674,670574
13/09/06,19626,20100,19535,19950,1044213
13/09/09,19740,19845,19362,19445,1162058
13/09/10,19650,19700,19479,19603,821773
13/09/11,19649,19990,19477,19801,905526
13/09/12,19801,20425,19630,20350,1201518
13/09/13,20229,20330,20085,20300,704868
13/09/16,20320,20321,19828,20000,1349417
13/09/17,20000,20319,19839,20200,908215
13/09/18,20094,20289,20000,20150,606899
13/09/19,20352,20825,20352,20825,1416673
13/09/20,20700,20795,20223,20322,977603
13/09/23,20439,20651,20080,20510,453670
13/09/25,20620,20820,20519,20740,969476
13/09/26,20729,20751,20530,20675,426858
13/09/27,20700,20700,20500,20502,435664
13/09/30,20312,20528,20300,20450,439841
13/10/01,20372,20568,20350,20475,987972
13/10/02,20500,20549,20300,20390,531132
13/10/03,20580,20751,20501,20750,594107
13/10/04,20730,20730,20451,20650,468002
13/10/07,20630,20688,20511,20675,290590
13/10/08,20700,20739,20417,20700,625694
13/10/09,20750,20750,20470,20600,1120348
13/10/10,20600,20900,20524,20750,810423
13/10/11,20750,20899,20476,20503,1087470
13/10/14,20492,20766,20416,20700,374630
13/10/15,20700,20933,20700,20829,637595
13/10/16,20900,21249,20629,21247,1191703
13/10/17,21050,21309,20980,21083,572620
13/10/18,21108,21200,20802,21124,261969
13/10/21,21290,21357,21018,21357,250855
13/10/22,21390,21390,21000,21000,472495
13/10/23,20900,21127,20839,21107,507557
13/10/24,21250,21250,20806,20920,367274
13/10/25,20850,21146,20685,21100,550988
13/10/28,21155,21569,21155,21540,700487
13/10/29,21540,21925,21205,21750,1052147
13/10/30,21700,21900,21643,21750,622506
13/10/31,21650,21800,21413,21800,575022
13/11/01,21880,21880,21542,21665,275619
13/11/04,21780,21780,21581,21780,349910
13/11/05,21657,21747,21329,21375,353083
13/11/06,21435,21586,21400,21570,278267
13/11/07,21500,21502,21216,21300,357642
13/11/08,21001,21350,20851,21075,577144
13/11/11,20921,21239,20901,20993,319704
13/11/12,21200,21200,20786,20929,264050
13/11/13,20850,20948,20276,20350,898472
13/11/14,20500,21026,20500,20714,484277
13/11/15,20895,21080,20700,20930,515554
13/11/18,21190,21199,20808,21075,348676
13/11/19,21069,21069,20651,20991,241361
13/11/20,20989,21005,20701,21005,264955
13/11/21,20981,21000,20702,20800,294064
13/11/22,20750,20900,20056,20383,1051943
13/11/25,20400,20710,20400,20530,216756
13/11/26,20530,20530,19960,20300,719968
13/11/27,20300,20807,20250,20807,338784
13/11/28,20807,21051,20651,21005,572781
13/11/29,20708,21075,20708,21070,393668
13/12/02,21200,21200,20901,21070,169330
13/12/03,21060,21136,20200,20700,635373
13/12/04,20750,20899,20320,20500,529637
13/12/05,20401,20914,20401,20850,381505
13/12/06,20650,21185,20564,21070,490926
13/12/09,21070,21070,20707,21000,483954
13/12/10,21000,21000,20617,20716,670157
13/12/11,20751,20751,20380,20477,795341
13/12/12,20300,20353,19829,19976,1293066
13/12/13,20064,20219,19830,19950,934524
13/12/17,20200,20543,19853,20094,605118
13/12/18,20054,20423,19901,20102,853733
13/12/19,20357,20587,20000,20200,1328178
13/12/20,20400,20911,20162,20911,775481
13/12/23,20980,20980,20396,20396,381623
13/12/24,20500,20790,20401,20437,89679
13/12/27,20764,20825,20299,20807,499482
13/12/30,20825,20969,20667,20926,212680
13/12/31,20664,21050,20548,21000,91003
14/01/02,20580,21200,20580,21100,242319
14/01/03,20900,21050,20671,20719,158068
14/01/06,20500,20949,20028,20115,600967
14/01/07,20100,20525,20100,20400,711115
14/01/08,20475,20650,20219,20236,360222
14/01/09,20480,20499,20190,20250,511495
14/01/10,20251,20550,20200,20505,612130
14/01/13,20476,20722,20301,20717,655069
14/01/14,20452,20680,20281,20445,533273
14/01/15,20423,20900,20423,20586,332951
14/01/16,20600,20699,20306,20400,615909
14/01/17,20594,20599,20300,20380,353947
14/01/20,20300,20547,20200,20250,481621
14/01/21,20275,20494,20115,20305,832168
14/01/22,20500,20658,20260,20525,358983
14/01/23,20639,20900,20400,20521,662367
14/01/24,20775,20775,20120,20200,687151
14/01/27,20001,20364,19800,20000,904382
14/01/28,20000,20330,19960,20100,645071
14/01/29,20200,20300,19040,19300,1987332
14/01/30,19200,19257,18955,19087,2216033
14/01/31,19390,19390,19003,19271,1150791
14/02/03,19305,19621,19151,19215,480855
14/02/04,19098,19557,18750,19370,2273261
14/02/05,19200,19479,19102,19120,613870
14/02/06,19101,19309,18950,19196,1113622
14/02/07,19250,19749,19101,19650,1458395
14/02/10,19849,19849,19400,19400,673669
14/02/11,19372,19680,19254,19330,961949
14/02/12,19599,19900,19350,19900,529999
14/02/13,19752,19887,19450,19571,399789
14/02/14,19600,19760,19500,19700,460247
14/02/17,19900,20250,19516,20042,180953
14/02/18,20042,20281,19711,20060,470079
14/02/19,20000,20232,19912,20100,475610
14/02/20,19818,20176,19818,20000,255722
14/02/21,20220,20278,19910,20278,576956
14/02/24,20400,21200,20400,20930,1071294
14/02/25,21100,21250,20610,20710,799668
14/02/26,20899,21046,20500,21012,998532
14/02/27,20990,21144,20784,20963,1123057
14/02/28,20970,21156,20560,21100,941668
14/03/03,20900,20956,20428,20503,753283
14/03/04,20666,21473,20450,21210,1587154
14/03/05,21188,21419,20956,21419,485045
14/03/06,21450,21637,21064,21517,372315
14/03/07,21520,21680,21200,21577,433805
14/03/10,21560,21560,21051,21300,562153
14/03/11,21300,21300,20826,20898,1234742
14/03/12,20750,20832,20347,20500,1153007
14/03/13,20500,20770,20428,20428,525932
14/03/14,20230,20643,20218,20643,639483
14/03/17,20642,21198,20525,21010,1012470
14/03/18,21010,21147,20645,20782,1028820
14/03/19,20605,21211,20605,21144,906550
14/03/20,20980,21049,20802,20901,1145261
14/03/24,20802,21470,20802,21305,641827
14/03/25,21400,22300,21301,21900,850349
14/03/26,21951,22737,21902,22495,987402
14/03/27,22300,22422,22000,22000,1059731
14/03/28,22195,22501,22144,22500,841604
14/03/31,22000,22404,21824,22404,1224192
14/04/01,22200,22379,22115,22250,1067639
14/04/02,22100,22250,21820,22166,1796897
14/04/03,22230,22239,21512,21651,966251
14/04/04,21565,21905,21565,21754,2364067
14/04/07,21600,22035,21588,21900,1267490
14/04/08,21970,21993,21773,21900,1675928
14/04/09,21878,22190,21672,21906,1658905
14/04/10,21972,22273,21695,22250,615302
14/04/11,21833,22148,21656,22080,785586
14/04/14,21997,22098,21502,21983,953109
14/04/15,22090,22170,21501,21786,793975
14/04/16,21817,21953,21506,21714,282198
14/04/17,21910,22250,21701,22250,445891
14/04/22,22250,22250,21719,22112,189896
14/04/23,21885,22213,21754,21820,504228
14/04/24,22100,22250,21919,22100,268736
14/04/25,21976,22916,21976,22845,1546774
14/04/29,22850,22850,22377,22650,437607
14/04/30,22614,22718,22412,22515,1078710
14/05/02,22793,23258,22554,23250,1782394
14/05/05,23100,23218,22625,22800,635125
14/05/06,22720,22900,22410,22850,512758
14/05/08,22888,23661,22880,23600,1383922
14/05/09,23451,23727,23399,23550,1096075
14/05/12,23425,23998,23421,23721,893740
14/05/13,23700,23989,23170,23400,1977627
14/05/14,23580,23580,22822,22853,2230252
14/05/15,22853,23300,22565,22622,804376
14/05/16,22622,22818,22351,22450,870094
14/05/19,22550,23097,22354,22700,911727
14/05/20,22675,23054,22442,22600,642336
14/05/21,22400,22820,22400,22701,470055
14/05/22,22700,22944,22550,22800,484673
14/05/23,22946,23150,22804,23092,647279
14/05/26,23091,23093,22595,23090,212904
14/05/27,23090,23200,22459,22459,487528
14/05/28,22418,22774,22310,22738,668176
14/05/29,22780,22999,22600,22600,440652
14/05/30,22550,22738,22187,22187,1124198
14/06/02,22255,22490,22210,22489,617182
14/06/03,22450,22698,22201,22368,492192
14/06/04,22350,22586,22266,22304,233312
14/06/05,22501,22699,22241,22401,640040
14/06/06,22488,23120,22449,23050,756972
14/06/09,23050,23535,22803,22950,281293
14/06/10,22875,23327,22804,23300,756028
14/06/11,23262,23300,22900,22980,491240
14/06/12,22960,23481,22960,23433,403340
14/06/13,23300,23348,22839,23005,554565
14/06/17,22850,23630,22850,23240,596483
14/06/18,23240,23240,22865,23097,388942
14/06/19,23060,23439,23016,23102,1018452
14/06/20,23102,23601,23008,23439,767390
14/06/23,23420,23498,22936,23364,318860
14/06/24,23370,23457,22911,23150,440258
14/06/25,23129,23129,22334,22472,947406
14/06/26,22560,22998,22421,22701,609717
14/06/27,22650,22810,22514,22746,324039
14/06/30,22550,23085,22550,22917,523089
14/07/01,23000,23250,22822,23019,201925
14/07/02,23099,23230,22613,22915,533903
14/07/03,22969,23039,22596,22863,342324
14/07/04,22760,23100,22610,23100,413651
14/07/07,22990,23210,22801,23149,558983
14/07/08,23195,23710,23091,23565,1047106
14/07/09,23550,23680,23276,23680,664901
14/07/10,23416,23581,22881,23250,1078376
14/07/11,23122,23590,23050,23200,745726
