Date,Open,High,Low,Close,Volume
13/11/20,19000,19200,18990,19200,544
13/11/21,18800,19050,18800,18800,11967
13/11/22,18850,18999,18850,18999,5594
13/11/25,19000,19050,18850,18850,20540
13/11/26,18851,18899,18850,18850,21206
13/11/27,18850,19166,18850,19000,19807
13/11/28,18861,18950,18800,18850,17713
13/11/29,18851,18853,18591,18725,51483
13/12/02,18707,18939,18699,18700,23512
13/12/03,18700,19074,18637,18700,51353
13/12/04,18700,18975,18700,18700,36846
13/12/05,18700,19069,18700,18801,19492
13/12/06,18800,18855,18700,18700,21325
13/12/09,18899,18900,18700,18750,14126
13/12/10,18700,18745,18700,18700,18840
13/12/11,18701,18873,18700,18796,29165
13/12/12,18800,18849,18592,18711,19871
13/12/13,18601,18754,18500,18510,8221
13/12/17,18684,18684,18311,18569,4839
13/12/18,18730,18730,18450,18500,623
13/12/19,18787,18787,18291,18374,10212
13/12/20,18324,18692,18300,18498,18261
13/12/23,18597,18598,18300,18350,3844
13/12/24,18350,18599,18301,18301,313
13/12/27,18349,18600,18349,18546,8303
13/12/30,18336,18669,18336,18600,46968
13/12/31,18695,18700,18488,18628,15835
14/01/02,18606,18628,18501,18600,34246
14/01/03,18693,18702,18300,18702,42026
14/01/06,18271,19000,18271,18763,18116
14/01/07,18720,18994,18720,18923,1241
14/01/08,18888,19101,18604,18791,18985
14/01/09,18791,18973,18520,18556,6734
14/01/10,18800,18800,18555,18570,4952
14/01/13,18600,18621,18450,18600,6306
14/01/14,18500,18500,18125,18300,6894
14/01/15,18125,18300,18111,18300,10466
14/01/16,18116,18300,18111,18200,22143
14/01/17,18200,18200,18131,18150,16955
14/01/20,18150,18150,17800,17800,17030
14/01/21,17981,18349,17812,18349,33364
14/01/22,18250,19000,18250,18870,38812
14/01/23,18800,18800,18501,18501,12688
14/01/24,18700,18700,17812,18368,38296
14/01/27,17892,18199,17892,17900,8923
14/01/28,18200,18250,17943,18151,15739
14/01/29,18100,18100,17750,17840,13961
14/01/30,17794,17794,16822,17700,28843
14/01/31,17398,18184,17398,17655,96915
14/02/03,17459,18000,17459,17700,24282
14/02/04,17450,18215,17400,18111,80289
14/02/05,17698,18461,17698,18260,61089
14/02/06,17989,18099,17576,17600,21948
14/02/07,17600,17800,17300,17449,19004
14/02/10,17447,17760,17346,17448,11911
14/02/11,17500,17765,17449,17600,6742
14/02/12,17400,17800,17400,17800,5021
14/02/13,17320,17700,17291,17700,9677
14/02/14,17600,17600,17350,17350,6836
14/02/17,17292,17305,16900,17040,24500
14/02/18,17001,17001,16549,16901,33100
14/02/19,16699,16898,16600,16700,20530
14/02/20,16600,17000,16500,16695,23480
14/02/21,16720,17000,16500,16500,13830
14/02/24,16531,16683,16300,16600,35621
14/02/25,16608,16608,16007,16449,19963
14/02/26,16708,17555,16000,16920,73801
14/02/27,17498,17980,17000,17000,67358
14/02/28,17100,17600,16900,17600,97196
14/03/03,17500,17600,17500,17600,36429
14/03/04,17360,17934,16900,17720,78387
14/03/05,17243,18448,17243,18251,145454
14/03/06,18400,18496,18251,18300,20567
14/03/07,18300,18950,18300,18700,18451
14/03/10,18700,19000,18556,19000,18068
14/03/11,18995,19150,18995,19012,120587
14/03/12,19000,19366,19000,19209.33,31270
14/03/13,18495,19500,18495,19370,18275
14/03/14,19100,19375,19100,19296.02,83183
14/03/17,19377,19388,19200,19250,20500
14/03/18,18900,19341,18810,19300,82218
14/03/19,19200,19426,19200,19400,58441
14/03/20,19500,19990,19001,19700,124399
14/03/24,19700,19700,19200,19267,5041
14/03/25,18436,19250,18000,18800,108340
14/03/26,18400,19175,18400,19175,40360
14/03/27,19100,19175,18261,19073,12066
14/03/28,18701,19430,18701,19300,16907
14/03/31,18400,19547,18400,19431,23188
14/04/01,19430,19688,19430,19500,9911
14/04/02,19295,19695,19200,19400,31942
14/04/03,18592,19502,18300,19200,38715
14/04/04,19366,19395,18513,19039.5,117383
14/04/07,18241,19450,18241,19200,17750
14/04/08,19025,19212,19000,19212,2933
14/04/09,18300,19456,18300,19456,4453
14/04/10,19290,19700,19185,19700,20993
14/04/11,19510,19700,19020,19700,23053
14/04/14,19700,20200,18350,20200,43122
14/04/15,20000,20172,19202,19331,25291
14/04/16,18899,19499,18899,19450,11380
14/04/17,19200,19401,19200,19400,20595
14/04/22,19200,20180,19111,19577,10227
14/04/23,19600,20000,19600,19800,7517
14/04/24,19948,20208,19780,20000,12450
14/04/25,19473,20879,19250,20218,45825
14/04/29,20700,21525,19743,20800,11652
